Municipio,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,30/01/2020 00:00,34.7
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,31/01/2020 00:00,34.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,01/02/2020 00:00,34.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,02/02/2020 00:00,35.9
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,03/02/2020 00:00,35.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,04/02/2020 00:00,37.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,05/02/2020 00:00,37.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,06/02/2020 00:00,37.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,07/02/2020 00:00,36.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,08/02/2020 00:00,35
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,09/02/2020 00:00,35.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,10/02/2020 00:00,37
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,11/02/2020 00:00,37.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,12/02/2020 00:00,36.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,13/02/2020 00:00,37.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,14/02/2020 00:00,38
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,15/02/2020 00:00,37.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,16/02/2020 00:00,36.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,17/02/2020 00:00,35.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,18/02/2020 00:00,36.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,19/02/2020 00:00,35.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,20/02/2020 00:00,37.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,21/02/2020 00:00,35.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,22/02/2020 00:00,30.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,23/02/2020 00:00,30.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,24/02/2020 00:00,34.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,25/02/2020 00:00,32
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,26/02/2020 00:00,30.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,27/02/2020 00:00,33.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,28/02/2020 00:00,33.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,29/02/2020 00:00,33.7
